can_close_early,close_time,created_time,event_ticker,expected_expiration_time,expiration_time,expiration_value,floor_strike,fractional_trading_enabled,last_price_dollars,latest_expiration_time,liquidity_dollars,market_type,no_ask_dollars,no_bid_dollars,no_sub_title,notional_value_dollars,open_interest_fp,open_time,previous_price_dollars,previous_yes_ask_dollars,previous_yes_bid_dollars,price_level_structure,price_ranges,response_price_units,result,rules_primary,rules_secondary,settlement_timer_seconds,settlement_ts,settlement_value_dollars,status,strike_type,subtitle,tick_size,ticker,title,updated_time,volume_24h_fp,volume_fp,yes_ask_dollars,yes_ask_size_fp,yes_bid_dollars,yes_bid_size_fp,yes_sub_title,cap_strike
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,75200.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$75,200 to 75,299.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 75200-75299.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$75,200 to 75,299.99",1,KXBTC-26MAR3015-B75250,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$75,200 to 75,299.99",75299.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,75100.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$75,100 to 75,199.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 75100-75199.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$75,100 to 75,199.99",1,KXBTC-26MAR3015-B75150,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$75,100 to 75,199.99",75199.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,75000.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$75,000 to 75,099.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 75000-75099.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$75,000 to 75,099.99",1,KXBTC-26MAR3015-B75050,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$75,000 to 75,099.99",75099.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,74900.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$74,900 to 74,999.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 74900-74999.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$74,900 to 74,999.99",1,KXBTC-26MAR3015-B74950,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$74,900 to 74,999.99",74999.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,74800.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$74,800 to 74,899.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 74800-74899.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$74,800 to 74,899.99",1,KXBTC-26MAR3015-B74850,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$74,800 to 74,899.99",74899.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,74700.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$74,700 to 74,799.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 74700-74799.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$74,700 to 74,799.99",1,KXBTC-26MAR3015-B74750,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$74,700 to 74,799.99",74799.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,74600.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$74,600 to 74,699.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 74600-74699.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$74,600 to 74,699.99",1,KXBTC-26MAR3015-B74650,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$74,600 to 74,699.99",74699.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,74500.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$74,500 to 74,599.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 74500-74599.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$74,500 to 74,599.99",1,KXBTC-26MAR3015-B74550,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$74,500 to 74,599.99",74599.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,74400.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$74,400 to 74,499.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 74400-74499.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$74,400 to 74,499.99",1,KXBTC-26MAR3015-B74450,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$74,400 to 74,499.99",74499.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,74300.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$74,300 to 74,399.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 74300-74399.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$74,300 to 74,399.99",1,KXBTC-26MAR3015-B74350,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$74,300 to 74,399.99",74399.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,74200.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$74,200 to 74,299.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 74200-74299.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$74,200 to 74,299.99",1,KXBTC-26MAR3015-B74250,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$74,200 to 74,299.99",74299.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,74100.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$74,100 to 74,199.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 74100-74199.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$74,100 to 74,199.99",1,KXBTC-26MAR3015-B74150,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$74,100 to 74,199.99",74199.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,74000.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$74,000 to 74,099.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 74000-74099.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$74,000 to 74,099.99",1,KXBTC-26MAR3015-B74050,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$74,000 to 74,099.99",74099.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,73900.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$73,900 to 73,999.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 73900-73999.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$73,900 to 73,999.99",1,KXBTC-26MAR3015-B73950,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$73,900 to 73,999.99",73999.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,73800.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$73,800 to 73,899.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 73800-73899.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$73,800 to 73,899.99",1,KXBTC-26MAR3015-B73850,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$73,800 to 73,899.99",73899.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,73700.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$73,700 to 73,799.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 73700-73799.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$73,700 to 73,799.99",1,KXBTC-26MAR3015-B73750,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$73,700 to 73,799.99",73799.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,73600.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$73,600 to 73,699.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 73600-73699.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$73,600 to 73,699.99",1,KXBTC-26MAR3015-B73650,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$73,600 to 73,699.99",73699.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,73500.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$73,500 to 73,599.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 73500-73599.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$73,500 to 73,599.99",1,KXBTC-26MAR3015-B73550,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$73,500 to 73,599.99",73599.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,73400.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$73,400 to 73,499.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 73400-73499.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$73,400 to 73,499.99",1,KXBTC-26MAR3015-B73450,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$73,400 to 73,499.99",73499.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,73300.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$73,300 to 73,399.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 73300-73399.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$73,300 to 73,399.99",1,KXBTC-26MAR3015-B73350,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$73,300 to 73,399.99",73399.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,73200.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$73,200 to 73,299.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 73200-73299.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$73,200 to 73,299.99",1,KXBTC-26MAR3015-B73250,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$73,200 to 73,299.99",73299.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,73100.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$73,100 to 73,199.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 73100-73199.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$73,100 to 73,199.99",1,KXBTC-26MAR3015-B73150,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$73,100 to 73,199.99",73199.99
True,2026-03-30T19:00:00Z,2026-03-29T09:02:46.131909Z,KXBTC-26MAR3015,2026-03-30T19:05:00Z,2026-04-06T19:00:00Z,66583.26,73000.0,False,0.0000,2026-04-06T19:00:00Z,0.0000,binary,1.0000,0.0000,"$73,000 to 73,099.99",1.0000,0.00,2026-03-30T18:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 3 PM EDT is between 73000-73099.99 at 3 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T19:02:58.601995Z,0.0000,finalized,between,"$73,000 to 73,099.99",1,KXBTC-26MAR3015-B73050,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T19:02:58.694959Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$73,000 to 73,099.99",73099.99
